EbayID,Labels
163024,Ebay>Antiques>Science_Medicine_Pre_1930_>Apothecary_Pharmaceutical>Mortar_Pestles
163025,Ebay>Antiques>Science_Medicine_Pre_1930_>Apothecary_Pharmaceutical>Scales
163026,Ebay>Antiques>Science_Medicine_Pre_1930_>Apothecary_Pharmaceutical>OtherAntiqueApothecary
163027,Ebay>Antiques>Science_Medicine_Pre_1930_>Dentistry
163028,Ebay>Antiques>Science_Medicine_Pre_1930_>Engineering
163030,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>DoctorBags
4069,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>QuackMedicine
163031,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>Stethoscopes
163032,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>SurgicalSets
163033,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>SurgicalTools
1210,Ebay>Antiques>Science_Medicine_Pre_1930_>Medicine>OtherMedicalAntiques
170063,Ebay>Antiques>Science_Medicine_Pre_1930_>Mining
163034,Ebay>Antiques>Science_Medicine_Pre_1930_>Optical
163036,Ebay>Antiques>Science_Medicine_Pre_1930_>ScientificInstruments>Barometers
163037,Ebay>Antiques>Science_Medicine_Pre_1930_>ScientificInstruments>Microscopes_LabEquipment
361,Ebay>Antiques>Science_Medicine_Pre_1930_>ScientificInstruments>OtherAntiqueScienceEquip
171167,Ebay>Antiques>Science_Medicine_Pre_1930_>PriceGuides_Publications
20095,Ebay>Antiques>Science_Medicine_Pre_1930_>OtherAntiqueScience_Medical
156324,Ebay>Antiques>Sewing_Pre_1930_>Baskets_Boxes
156325,Ebay>Antiques>Sewing_Pre_1930_>Buttons
156326,Ebay>Antiques>Sewing_Pre_1930_>Furniture
156328,Ebay>Antiques>Sewing_Pre_1930_>Needles_Cases
156329,Ebay>Antiques>Sewing_Pre_1930_>Patterns
167949,Ebay>Antiques>Sewing_Pre_1930_>PinCushions
156327,Ebay>Antiques>Sewing_Pre_1930_>SewingMachines
163106,Ebay>Antiques>Sewing_Pre_1930_>SewingMachineParts
